MMSI,HDG,COG,SOG,LAT,LON
368000052,0,0,0,33.87417333333333,118.41629333333333
368000052,0,0,0,33.87411,118.41675166666667
368000052,0,0,0,33.874048333333334,118.41721
368000052,0,0,0,33.873985,118.41766833333334
368000052,0,0,0,33.87392166666667,118.41812666666667
368000052,0,0,0,33.87386,118.418585
368000052,0,0,0,33.873796666666664,118.41904333333333
368000052,0,0,0,33.873733333333334,118.41950333333334
368000052,0,0,0,33.87367166666667,118.41996166666667
368000052,0,0,0,33.87360833333334,118.42042
368000052,0,0,0,33.873545,118.42087833333333
368000052,0,0,0,33.87348333333333,118.42133666666666
368000052,0,0,0,33.87342,118.421795
368000052,0,0,0,33.873356666666666,118.42225333333333
368000052,0,0,0,33.873295,118.42271166666667
368000052,0,0,0,33.87323166666667,118.42317
368000052,0,0,0,33.87316833333333,118.42362833333334
368000052,0,0,0,33.873106666666665,118.42408666666667
368000052,0,0,0,33.873043333333335,118.424545
368000052,0,0,0,33.87298,118.42500333333334
368000052,0,0,0,33.87291833333333,118.42546166666666
368000052,0,0,0,33.872855,118.42592
368000052,0,0,0,33.872791666666664,118.42637833333333
368000052,0,0,0,33.87273,118.42683666666667
368000052,0,0,0,33.87266666666667,118.427295
368000052,0,0,0,33.87260333333333,118.42775333333333
368000052,0,0,0,33.87254166666666,118.42821166666667
368000052,0,0,0,33.87247833333333,118.42867
368000052,0,0,0,33.872415,118.42912833333334
368000052,0,0,0,33.872353333333336,118.42958666666667
368000052,0,0,0,33.87229,118.430045
368000052,0,0,0,33.87222666666667,118.43050333333333
368000052,0,0,0,33.872165,118.43096166666666
368000052,0,0,0,33.872101666666666,118.43142
368000052,0,0,0,33.872038333333336,118.43187833333333
368000052,0,0,0,33.871975,118.43233666666667
368000052,0,0,0,33.87191333333333,118.432795
368000052,0,0,0,33.87185,118.43325333333334
368000052,0,0,0,33.871786666666665,118.43371166666667
368000052,0,0,0,33.871725,118.43417
368000052,0,0,0,33.87166166666667,118.43462833333334
368000052,0,0,0,33.87159833333333,118.43508666666666
368000052,0,0,0,33.871536666666664,118.435545
368000052,0,0,0,33.871473333333334,118.43600333333333
368000052,0,0,0,33.87141,118.43646166666667
368000052,0,0,0,33.87134833333333,118.43692
368000052,0,0,0,33.871285,118.43737833333333
368000052,0,0,0,33.87122166666666,118.43783666666667
368000052,0,0,0,33.87116,118.438295
368000052,0,0,0,33.871096666666666,118.43875333333334
368000052,0,0,0,33.87103333333334,118.43921166666667
368000052,0,0,0,33.87097166666667,118.43967
368000052,0,0,0,33.87090833333333,118.44013
368000052,0,0,0,33.870845,118.44058833333334
368000052,0,0,0,33.870783333333335,118.44104666666667
368000052,0,0,0,33.87072,118.441505
368000052,0,0,0,33.87065666666667,118.44196333333333
368000052,0,0,0,33.870595,118.44242166666666
368000052,0,0,0,33.870531666666665,118.44288
368000052,0,0,0,33.870468333333335,118.44333833333333
