MMSI,HDG,COG,SOG,LAT,LON
368000014,0,0,0,33.83599666666667,118.40142
368000014,0,0,0,33.835946666666665,118.40188
368000014,0,0,0,33.83589666666666,118.40234
368000014,0,0,0,33.83584666666667,118.4028
368000014,0,0,0,33.83579666666667,118.40326
368000014,0,0,0,33.835745,118.40372
368000014,0,0,0,33.835695,118.40418
368000014,0,0,0,33.835645,118.40464
368000014,0,0,0,33.835595,118.4051
368000014,0,0,0,33.835545,118.40556
368000014,0,0,0,33.835495,118.40602
368000014,0,0,0,33.835445,118.40648
368000014,0,0,0,33.835395,118.40693833333333
368000014,0,0,0,33.835345,118.40739833333333
368000014,0,0,0,33.835295,118.40785833333334
368000014,0,0,0,33.835245,118.40831833333333
368000014,0,0,0,33.835195,118.40877833333333
368000014,0,0,0,33.835145,118.40923833333333
368000014,0,0,0,33.835095,118.40969833333334
368000014,0,0,0,33.83504333333333,118.41015833333333
368000014,0,0,0,33.83499333333334,118.41061833333333
368000014,0,0,0,33.834943333333335,118.41107833333334
368000014,0,0,0,33.83489333333333,118.41153833333334
368000014,0,0,0,33.83484333333333,118.41199833333333
368000014,0,0,0,33.83479333333333,118.41245833333333
368000014,0,0,0,33.834743333333336,118.41291833333334
368000014,0,0,0,33.834693333333334,118.41337833333333
368000014,0,0,0,33.83464333333333,118.41383833333333
368000014,0,0,0,33.83459333333333,118.41429833333333
368000014,0,0,0,33.834543333333336,118.41475833333334
368000014,0,0,0,33.834493333333334,118.41521833333333
368000014,0,0,0,33.83444333333333,118.41567833333333
368000014,0,0,0,33.83439333333333,118.41613833333334
368000014,0,0,0,33.83434333333334,118.41659833333334
368000014,0,0,0,33.834291666666665,118.41705833333333
368000014,0,0,0,33.834241666666664,118.41751833333333
368000014,0,0,0,33.83419166666667,118.41797666666666
368000014,0,0,0,33.83414166666667,118.41843666666666
368000014,0,0,0,33.834091666666666,118.41889666666667
368000014,0,0,0,33.834041666666664,118.41935666666667
368000014,0,0,0,33.83399166666667,118.41981666666666
368000014,0,0,0,33.83394166666667,118.42027666666667
368000014,0,0,0,33.833891666666666,118.42073666666667
368000014,0,0,0,33.833841666666665,118.42119666666666
368000014,0,0,0,33.83379166666667,118.42165666666666
368000014,0,0,0,33.83374166666667,118.42211666666667
368000014,0,0,0,33.83369166666667,118.42257666666667
368000014,0,0,0,33.833641666666665,118.42303666666666
368000014,0,0,0,33.83359,118.42349666666667
368000014,0,0,0,33.83354,118.42395666666667
368000014,0,0,0,33.83349,118.42441666666667
368000014,0,0,0,33.83344,118.42487666666666
368000014,0,0,0,33.83339,118.42533666666667
368000014,0,0,0,33.83334,118.42579666666667
368000014,0,0,0,33.83329,118.42625666666666
368000014,0,0,0,33.83324,118.42671666666666
368000014,0,0,0,33.83319,118.42717666666667
368000014,0,0,0,33.83314,118.42763666666667
368000014,0,0,0,33.83309,118.42809666666666
368000014,0,0,0,33.83304,118.428555
368000014,0,0,0,33.83299,118.429015
368000014,0,0,0,33.83294,118.429475
368000014,0,0,0,33.83288833333334,118.429935
368000014,0,0,0,33.832838333333335,118.430395
368000014,0,0,0,33.83278833333333,118.430855
368000014,0,0,0,33.83273833333333,118.431315
368000014,0,0,0,33.83268833333333,118.431775
368000014,0,0,0,33.832638333333335,118.432235
368000014,0,0,0,33.832588333333334,118.432695
368000014,0,0,0,33.83253833333333,118.433155
368000014,0,0,0,33.83248833333333,118.433615
368000014,0,0,0,33.832438333333336,118.434075
368000014,0,0,0,33.832388333333334,118.434535
368000014,0,0,0,33.83233833333333,118.434995
368000014,0,0,0,33.83228833333333,118.435455
368000014,0,0,0,33.832238333333336,118.435915
368000014,0,0,0,33.832186666666665,118.436375
368000014,0,0,0,33.83213666666666,118.436835
368000014,0,0,0,33.83208666666667,118.437295
368000014,0,0,0,33.83203666666667,118.437755
368000014,0,0,0,33.831986666666666,118.438215
368000014,0,0,0,33.831936666666664,118.438675
368000014,0,0,0,33.83188666666667,118.43913333333333
368000014,0,0,0,33.83183666666667,118.43959333333333
368000014,0,0,0,33.831786666666666,118.44005333333334
368000014,0,0,0,33.831736666666664,118.44051333333333
368000014,0,0,0,33.83168666666667,118.44097333333333
368000014,0,0,0,33.83163666666667,118.44143333333334
368000014,0,0,0,33.83158666666667,118.44189333333334
368000014,0,0,0,33.831536666666665,118.44235333333333
368000014,0,0,0,33.831485,118.44281333333333
368000014,0,0,0,33.831435,118.44327333333334
368000014,0,0,0,33.831385,118.44373333333333
368000014,0,0,0,33.831335,118.44419333333333
368000014,0,0,0,33.831285,118.44465333333333
368000014,0,0,0,33.831235,118.44511333333334
368000014,0,0,0,33.831185,118.44557333333333
368000014,0,0,0,33.831135,118.44603333333333
368000014,0,0,0,33.831085,118.44649333333334
368000014,0,0,0,33.831035,118.44695333333334
368000014,0,0,0,33.830985,118.44741333333333
368000014,0,0,0,33.830935,118.44787333333333
368000014,0,0,0,33.830885,118.44833333333334
368000014,0,0,0,33.830835,118.44879333333333
368000014,0,0,0,33.830783333333336,118.44925333333333
368000014,0,0,0,33.830733333333335,118.44971166666667
368000014,0,0,0,33.83068333333333,118.45017166666666
368000014,0,0,0,33.83063333333333,118.45063166666667
368000014,0,0,0,33.83058333333334,118.45109166666667
368000014,0,0,0,33.830533333333335,118.45155166666666
368000014,0,0,0,33.83048333333333,118.45201166666666
368000014,0,0,0,33.83043333333333,118.45247166666667
368000014,0,0,0,33.83038333333333,118.45293166666667
368000014,0,0,0,33.830333333333336,118.45339166666666
368000014,0,0,0,33.830283333333334,118.45385166666667
368000014,0,0,0,33.83023333333333,118.45431166666667
368000014,0,0,0,33.83018333333333,118.45477166666667
368000014,0,0,0,33.830133333333336,118.45523166666666
368000014,0,0,0,33.830081666666665,118.45569166666667
368000014,0,0,0,33.83003166666666,118.45615166666667
368000014,0,0,0,33.82998166666667,118.45661166666666
368000014,0,0,0,33.82993166666667,118.45707166666666
368000014,0,0,0,33.829881666666665,118.45753166666667
368000014,0,0,0,33.829831666666664,118.45799166666667
368000014,0,0,0,33.82978166666667,118.45845166666666
368000014,0,0,0,33.82973166666667,118.45891166666667
368000014,0,0,0,33.829681666666666,118.45937166666667
368000014,0,0,0,33.829631666666664,118.45983166666667
368000014,0,0,0,33.82958166666667,118.46029166666666
368000014,0,0,0,33.82953166666667,118.46075
368000014,0,0,0,33.829481666666666,118.46121
368000014,0,0,0,33.829431666666665,118.46167
368000014,0,0,0,33.82938,118.46213
368000014,0,0,0,33.82933,118.46259
368000014,0,0,0,33.82928,118.46305
368000014,0,0,0,33.82923,118.46351
368000014,0,0,0,33.82918,118.46397
368000014,0,0,0,33.82913,118.46443
368000014,0,0,0,33.82908,118.46489
368000014,0,0,0,33.82903,118.46535
368000014,0,0,0,33.82898,118.46581
368000014,0,0,0,33.82893,118.46627
368000014,0,0,0,33.82888,118.46673
368000014,0,0,0,33.82883,118.46719
368000014,0,0,0,33.82878,118.46765
368000014,0,0,0,33.82873,118.46811
368000014,0,0,0,33.828678333333336,118.46857
368000014,0,0,0,33.828628333333334,118.46903
368000014,0,0,0,33.82857833333333,118.46949
368000014,0,0,0,33.82852833333333,118.46995
368000014,0,0,0,33.82847833333334,118.47041
368000014,0,0,0,33.828428333333335,118.47087
