MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
368000000,16,33.64864333333333,120.27522666666667,0,0,0,,,,,,,,,
368000000,36,33.648691666666664,120.27476666666666,0,0,0,,,,,,,,,
368000000,0,33.648741666666666,120.27430666666666,0,0,0,,,,,,,,,
368000000,20,33.64879166666667,120.27384666666667,0,0,0,,,,,,,,,
368000000,40,33.64884,120.27338666666667,0,0,0,,,,,,,,,
368000000,60,33.64889,120.27292666666666,0,0,0,,,,,,,,,
368000000,16,33.64894,120.27246666666667,0,0,0,,,,,,,,,
368000000,36,33.648988333333335,120.27200666666667,0,0,0,,,,,,,,,
368000000,0,33.64903833333333,120.27154666666667,0,0,0,,,,,,,,,
368000000,20,33.64908833333333,120.27108666666666,0,0,0,,,,,,,,,
368000000,40,33.649136666666664,120.27062666666667,0,0,0,,,,,,,,,
368000000,60,33.649186666666665,120.27016666666667,0,0,0,,,,,,,,,
368000000,16,33.64923666666667,120.26970666666666,0,0,0,,,,,,,,,
368000000,36,33.649285,120.26924666666666,0,0,0,,,,,,,,,
368000000,0,33.649335,120.26878666666667,0,0,0,,,,,,,,,
368000000,20,33.649385,120.26832666666667,0,0,0,,,,,,,,,
368000000,40,33.649433333333334,120.26786666666666,0,0,0,,,,,,,,,
368000000,60,33.649483333333336,120.26740666666667,0,0,0,,,,,,,,,
368000000,16,33.64953333333333,120.26694666666667,0,0,0,,,,,,,,,
368000000,36,33.64958166666667,120.26648666666667,0,0,0,,,,,,,,,
368000000,0,33.649631666666664,120.26602666666666,0,0,0,,,,,,,,,
368000000,20,33.64968,120.26556666666667,0,0,0,,,,,,,,,
368000000,40,33.64973,120.26510666666667,0,0,0,,,,,,,,,
368000000,60,33.64978,120.26464666666666,0,0,0,,,,,,,,,
368000000,16,33.64982833333333,120.26418666666666,0,0,0,,,,,,,,,
368000000,36,33.649878333333334,120.26372666666667,0,0,0,,,,,,,,,
368000000,0,33.649928333333335,120.26326666666667,0,0,0,,,,,,,,,
368000000,20,33.64997666666667,120.26280666666666,0,0,0,,,,,,,,,
368000000,40,33.65002666666667,120.26234666666667,0,0,0,,,,,,,,,
368000000,60,33.65007666666666,120.26188666666667,0,0,0,,,,,,,,,
368000000,16,33.650125,120.26142666666667,0,0,0,,,,,,,,,
368000000,36,33.650175,120.26096666666666,0,0,0,,,,,,,,,
368000000,0,33.650225,120.26050666666667,0,0,0,,,,,,,,,
368000000,20,33.65027333333333,120.26004666666667,0,0,0,,,,,,,,,
368000000,40,33.65032333333333,120.25958666666666,0,0,0,,,,,,,,,
368000000,60,33.650373333333334,120.25912666666666,0,0,0,,,,,,,,,
368000000,16,33.65042166666667,120.25866666666667,0,0,0,,,,,,,,,
368000000,36,33.65047166666667,120.25820666666667,0,0,0,,,,,,,,,
368000000,0,33.65052166666667,120.25774666666666,0,0,0,,,,,,,,,
368000000,20,33.65057,120.25728666666667,0,0,0,,,,,,,,,
368000000,40,33.65062,120.25682666666667,0,0,0,,,,,,,,,
368000000,60,33.65067,120.25636666666666,0,0,0,,,,,,,,,
368000000,16,33.65071833333333,120.25590666666666,0,0,0,,,,,,,,,
368000000,36,33.65076833333333,120.25544666666667,0,0,0,,,,,,,,,
368000000,0,33.65081833333333,120.25498666666667,0,0,0,,,,,,,,,
368000000,20,33.650866666666666,120.25452666666666,0,0,0,,,,,,,,,
368000000,40,33.65091666666667,120.25406666666667,0,0,0,,,,,,,,,
368000000,60,33.65096666666667,120.25360666666667,0,0,0,,,,,,,,,
368000000,16,33.651015,120.25314666666667,0,0,0,,,,,,,,,
368000000,36,33.651065,120.25268666666666,0,0,0,,,,,,,,,
368000000,0,33.651113333333335,120.25222666666667,0,0,0,,,,,,,,,
368000000,20,33.651163333333336,120.25176666666667,0,0,0,,,,,,,,,
368000000,40,33.65121333333333,120.25130666666666,0,0,0,,,,,,,,,
368000000,60,33.65126166666667,120.25084666666666,0,0,0,,,,,,,,,
368000000,16,33.651311666666665,120.25038666666667,0,0,0,,,,,,,,,
368000000,36,33.651361666666666,120.24992666666667,0,0,0,,,,,,,,,
368000000,0,33.65141,120.24946666666666,0,0,0,,,,,,,,,
368000000,20,33.65146,120.24900666666667,0,0,0,,,,,,,,,
368000000,40,33.65151,120.24854666666667,0,0,0,,,,,,,,,
368000000,60,33.651558333333334,120.24808666666667,0,0,0,,,,,,,,,
368000000,16,33.651608333333336,120.24762666666666,0,0,0,,,,,,,,,
368000000,36,33.65165833333333,120.24716666666667,0,0,0,,,,,,,,,
368000000,0,33.65170666666667,120.24670666666667,0,0,0,,,,,,,,,
368000000,20,33.651756666666664,120.24624666666666,0,0,0,,,,,,,,,
368000000,40,33.651806666666666,120.24578666666666,0,0,0,,,,,,,,,
368000000,60,33.651855,120.24532666666667,0,0,0,,,,,,,,,
368000000,16,33.651905,120.24486666666667,0,0,0,,,,,,,,,
368000000,36,33.651955,120.24440666666666,0,0,0,,,,,,,,,
368000000,0,33.65200333333333,120.24394666666667,0,0,0,,,,,,,,,
368000000,20,33.652053333333335,120.24348666666667,0,0,0,,,,,,,,,
368000000,40,33.652103333333336,120.24302666666667,0,0,0,,,,,,,,,
368000000,60,33.65215166666667,120.24256666666666,0,0,0,,,,,,,,,
368000000,16,33.65220166666667,120.24210666666667,0,0,0,,,,,,,,,
368000000,36,33.652251666666665,120.24164666666667,0,0,0,,,,,,,,,
368000000,0,33.6523,120.24118666666666,0,0,0,,,,,,,,,
368000000,20,33.65235,120.24072666666666,0,0,0,,,,,,,,,
368000000,40,33.6524,120.24026666666667,0,0,0,,,,,,,,,
368000000,60,33.65244833333333,120.23980666666667,0,0,0,,,,,,,,,
368000000,16,33.652498333333334,120.23934666666666,0,0,0,,,,,,,,,
368000000,36,33.652546666666666,120.23888666666667,0,0,0,,,,,,,,,
368000000,0,33.65259666666667,120.23842666666667,0,0,0,,,,,,,,,
368000000,20,33.65264666666667,120.23796666666667,0,0,0,,,,,,,,,
368000000,40,33.652695,120.23750666666666,0,0,0,,,,,,,,,
368000000,60,33.652745,120.23704666666667,0,0,0,,,,,,,,,
368000000,16,33.652795,120.23658666666667,0,0,0,,,,,,,,,
368000000,36,33.65284333333334,120.23612666666666,0,0,0,,,,,,,,,
368000000,0,33.65289333333333,120.23566666666666,0,0,0,,,,,,,,,
